"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,1.0993e+05,6000,0
0,0,0,0,0,0,0,0,1.1018e+05,6000,0
0,0,0,0,0,0,0,0,1.1043e+05,6000,0
0,0,0,0,0,0,0,0,1.1068e+05,6000,0
0,0,0,0,0,0,0,0,1.1093e+05,6000,0
0,0,0,0,0,0,0,0,1.1119e+05,6000,0
0,0,0,0,0,0,0,0,1.1144e+05,6000,0
0,0,0,0,0,0,0,0,1.1169e+05,6000,0
0,0,0,0,0,0,0,0,1.1194e+05,6000,0
0,0,0,0,0,0,0,0,1.1219e+05,6000,0
0,0,0,0,0,0,0,0,1.1244e+05,6000,0
0,0,0,0,0,0,0,0,1.1269e+05,6000,0
0,0,0,0,0,0,0,0,1.1294e+05,6000,0
0,0,0,0,0,0,0,0,1.1319e+05,6000,0
0,0,0,0,0,0,0,0,1.1344e+05,6000,0
0,0,0,0,0,0,0,0,1.1369e+05,6000,0
0,0,0,0,0,0,0,0,1.1394e+05,6000,0
0,0,0,0,0,0,0,0,1.1419e+05,6000,0
0,0,0,0,0,0,0,0,1.1444e+05,6000,0
0,0,0,0,0,0,0,0,1.1469e+05,6000,0
0,0,0,0,0,0,0,0,1.1494e+05,6000,0
0,0,0,0,0,0,0,0,1.1519e+05,6000,0
0,0,0,0,0,0,0,0,1.1544e+05,6000,0
0,0,0,0,0,0,0,0,1.1569e+05,6000,0
0,0,0,0,0,0,0,0,1.1594e+05,6000,0
0,0,0,0,0,0,0,0,1.1619e+05,6000,0
0,0,0,0,0,0,0,0,1.1644e+05,6000,0
0,0,0,0,0,0,0,0,1.1669e+05,6000,0
0,0,0,0,0,0,0,0,1.1694e+05,6000,0
0,0,0,0,0,0,0,0,1.172e+05,6000,0
0,0,0,0,0,0,0,0,1.1745e+05,6000,0
0,0,0,0,0,0,0,0,1.177e+05,6000,0
0,0,0,0,0,0,0,0,1.1795e+05,6000,0
0,0,0,0,0,0,0,0,1.182e+05,6000,0
0,0,0,0,0,0,0,0,1.1845e+05,6000,0
0,0,0,0,0,0,0,0,1.187e+05,6000,0
0,0,0,0,0,0,0,0,1.1895e+05,6000,0
0,0,0,0,0,0,0,0,1.192e+05,6000,0
0,0,0,0,0,0,0,0,1.1945e+05,6000,0
0,0,0,0,0,0,0,0,1.197e+05,6000,0
0,0,0,0,0,0,0,0,1.1995e+05,6000,0
0,0,0,0,0,0,0,0,1.202e+05,6000,0
0,0,0,0,0,0,0,0,1.2045e+05,6000,0
0,0,0,0,0,0,0,0,1.207e+05,6000,0
0,0,0,0,0,0,0,0,1.2095e+05,6000,0
0,0,0,0,0,0,0,0,1.212e+05,6000,0
0,0,0,0,0,0,0,0,1.2145e+05,6000,0
0,0,0,0,0,0,0,0,1.217e+05,6000,0
0,0,0,0,0,0,0,0,1.2195e+05,6000,0
0,0,0,0,0,0,0,0,1.222e+05,6000,0
0,0,0,0,0,0,0,0,1.2245e+05,6000,0
0,0,0,0,0,0,0,0,1.227e+05,6000,0
0,0,0,0,0,0,0,0,1.2295e+05,6000,0
0,0,0,0,0,0,0,0,1.2321e+05,6000,0
0,0,0,0,0,0,0,0,1.2346e+05,6000,0
0,0,0,0,0,0,0,0,1.2371e+05,6000,0
0,0,0,0,0,0,0,0,1.2396e+05,6000,0
0,0,0,0,0,0,0,0,1.2421e+05,6000,0
0,0,0,0,0,0,0,0,1.2446e+05,6000,0
0,0,0,0,0,0,0,0,1.2471e+05,6000,0
0,0,0,0,0,0,0,0,1.2496e+05,6000,0
0,0,0,0,0,0,0,0,1.2521e+05,6000,0
0,0,0,0,0,0,0,0,1.2546e+05,6000,0
0,0,0,0,0,0,0,0,1.2571e+05,6000,0
0,0,0,0,0,0,0,0,1.2596e+05,6000,0
0,0,0,0,0,0,0,0,1.2621e+05,6000,0
0,0,0,0,0,0,0,0,1.2646e+05,6000,0
0,0,0,0,0,0,0,0,1.2671e+05,6000,0
0,0,0,0,0,0,0,0,1.2696e+05,6000,0
0,0,0,0,0,0,0,0,1.2721e+05,6000,0
0,0,0,0,0,0,0,0,1.2746e+05,6000,0
0,0,0,0,0,0,0,0,1.2771e+05,6000,0
0,0,0,0,0,0,0,0,1.2796e+05,6000,0
0,0,0,0,0,0,0,0,1.2821e+05,6000,0
0,0,0,0,0,0,0,0,1.2846e+05,6000,0
0,0,0,0,0,0,0,0,1.2871e+05,6000,0
